Number,Name,office,district,party,candidate,votes,early,poll
20,ELLENSBURG 13,State Senate,13,,writeins,1,0,1
21,ELLENSBURG 14,State Senate,13,,writeins,0,0,0
22,ELLENSBURG 15,State Senate,13,,writeins,2,1,1
23,ELLENSBURG 16,State Senate,13,,writeins,0,0,0
24,ELLENSBURG 17,State Senate,13,,writeins,0,0,0
25,ELLENSBURG 18,State Senate,13,,writeins,1,1,0
26,ELLENSBURG 19,State Senate,13,,writeins,0,0,0
27,ELLENSBURG 20,State Senate,13,,writeins,0,0,0
28,ELLENSBURG 21,State Senate,13,,writeins,3,3,0
29,ELLENSBURG 22,State Senate,13,,writeins,0,0,0
30,ELLENSBURG 23,State Senate,13,,writeins,1,1,0
31,ELLENSBURG 24,State Senate,13,,writeins,0,0,0
32,HYAK (vbm),State Senate,13,,writeins,0,0,0
33,KITTITAS 1,State Senate,13,,writeins,1,1,0
34,MANASTASH,State Senate,13,,writeins,2,0,2
35,MOUNTAIN (vbm),State Senate,13,,writeins,0,0,0
36,NORTH CENTRAL,State Senate,13,,writeins,1,0,1
37,NORTH ELLENSBURG,State Senate,13,,writeins,1,1,0
38,PARK,State Senate,13,,writeins,0,0,0
39,PEOH POINT,State Senate,13,,writeins,3,1,2
40,RIDGEWAY,State Senate,13,,writeins,1,0,1
41,ROSLYN 1,State Senate,13,,writeins,0,0,0
42,ROSLYN 2,State Senate,13,,writeins,0,0,0
43,DRY CREEK,State Senate,13,,writeins,2,2,0
44,WESTSIDE (vbm),State Senate,13,,writeins,0,0,0
45,ROSLYN OUTLYING (vbm),State Senate,13,,writeins,0,0,0
46,SANDERS,State Senate,13,,writeins,0,0,0
47,SOUTH CLE ELUM,State Senate,13,,writeins,0,0,0
48,SOUTH ELLENSBURG,State Senate,13,,writeins,0,0,0
49,CANYON,State Senate,13,,writeins,0,0,0
50,SWAUK (vbm),State Senate,13,,writeins,0,0,0
51,TEANAWAY (vbm),State Senate,13,,writeins,0,0,0
52,THORP,State Senate,13,,writeins,0,0,0
53,VANTAGE (vbm),State Senate,13,,writeins,0,0,0
54,NORTH EAST FAIRVIEW,State Senate,13,,writeins,0,0,0
55,FAIRVIEW,State Senate,13,,writeins,1,1,0
56,THRALL,State Senate,13,,writeins,0,0,0
58,DAMMAN,State Senate,13,,writeins,0,0,0
59,KACHESS (vbm),State Senate,13,,writeins,0,0,0
60,KITTITAS 2,State Senate,13,,writeins,1,1,0
61,ELLENSBURG 25,State Senate,13,,writeins,0,0,0
62,RONALD (vbm),State Senate,13,,writeins,1,0,1
99,KITTITAS WA,State Senate,13,,writeins,0,0,0
1,CLE ELUM 1,State House,13-1,R,Judith Warnick,125,93,32
2,CLE ELUM 2,State House,13-1,R,Judith Warnick,105,68,37
3,CLE ELUM 3,State House,13-1,R,Judith Warnick,56,39,17
4,CLE ELUM 4,State House,13-1,R,Judith Warnick,161,112,49
5,DENMARK,State House,13-1,R,Judith Warnick,310,251,59
6,EAST SANDERS,State House,13-1,R,Judith Warnick,240,185,55
7,EASTON,State House,13-1,R,Judith Warnick,238,205,33
8,ELLENSBURG 1,State House,13-1,R,Judith Warnick,36,26,10
9,ELLENSBURG 2,State House,13-1,R,Judith Warnick,61,39,22
10,ELLENSBURG 3,State House,13-1,R,Judith Warnick,31,18,13
11,ELLENSBURG 4,State House,13-1,R,Judith Warnick,56,41,15
12,ELLENSBURG 5,State House,13-1,R,Judith Warnick,76,51,25
13,ELLENSBURG 6,State House,13-1,R,Judith Warnick,44,32,12
14,ELLENSBURG 7,State House,13-1,R,Judith Warnick,42,30,12
15,ELLENSBURG 8,State House,13-1,R,Judith Warnick,78,54,24
16,ELLENSBURG 9,State House,13-1,R,Judith Warnick,56,26,30
17,ELLENSBURG 10,State House,13-1,R,Judith Warnick,88,50,38
18,ELLENSBURG 11,State House,13-1,R,Judith Warnick,95,58,37
19,ELLENSBURG 12,State House,13-1,R,Judith Warnick,87,68,19
20,ELLENSBURG 13,State House,13-1,R,Judith Warnick,96,72,24
21,ELLENSBURG 14,State House,13-1,R,Judith Warnick,85,54,31
22,ELLENSBURG 15,State House,13-1,R,Judith Warnick,205,140,65
23,ELLENSBURG 16,State House,13-1,R,Judith Warnick,79,57,22
24,ELLENSBURG 17,State House,13-1,R,Judith Warnick,114,85,29
25,ELLENSBURG 18,State House,13-1,R,Judith Warnick,23,13,10
26,ELLENSBURG 19,State House,13-1,R,Judith Warnick,218,165,53
27,ELLENSBURG 20,State House,13-1,R,Judith Warnick,71,45,26
28,ELLENSBURG 21,State House,13-1,R,Judith Warnick,96,81,15
29,ELLENSBURG 22,State House,13-1,R,Judith Warnick,150,102,48
30,ELLENSBURG 23,State House,13-1,R,Judith Warnick,189,157,32
31,ELLENSBURG 24,State House,13-1,R,Judith Warnick,245,185,60
32,HYAK (vbm),State House,13-1,R,Judith Warnick,65,0,65
33,KITTITAS 1,State House,13-1,R,Judith Warnick,101,79,22
34,MANASTASH,State House,13-1,R,Judith Warnick,208,161,47
35,MOUNTAIN (vbm),State House,13-1,R,Judith Warnick,95,0,95
36,NORTH CENTRAL,State House,13-1,R,Judith Warnick,282,208,74
37,NORTH ELLENSBURG,State House,13-1,R,Judith Warnick,211,164,47
38,PARK,State House,13-1,R,Judith Warnick,276,234,42
39,PEOH POINT,State House,13-1,R,Judith Warnick,238,194,44
40,RIDGEWAY,State House,13-1,R,Judith Warnick,392,304,88
41,ROSLYN 1,State House,13-1,R,Judith Warnick,114,83,31
42,ROSLYN 2,State House,13-1,R,Judith Warnick,110,93,17
43,DRY CREEK,State House,13-1,R,Judith Warnick,309,246,63
44,WESTSIDE (vbm),State House,13-1,R,Judith Warnick,232,0,232
45,ROSLYN OUTLYING (vbm),State House,13-1,R,Judith Warnick,28,0,28
46,SANDERS,State House,13-1,R,Judith Warnick,118,90,28
47,SOUTH CLE ELUM,State House,13-1,R,Judith Warnick,148,112,36
48,SOUTH ELLENSBURG,State House,13-1,R,Judith Warnick,293,218,75
49,CANYON,State House,13-1,R,Judith Warnick,77,66,11
50,SWAUK (vbm),State House,13-1,R,Judith Warnick,144,0,144
51,TEANAWAY (vbm),State House,13-1,R,Judith Warnick,218,0,218
52,THORP,State House,13-1,R,Judith Warnick,265,230,35
53,VANTAGE (vbm),State House,13-1,R,Judith Warnick,29,0,29
54,NORTH EAST FAIRVIEW,State House,13-1,R,Judith Warnick,155,110,45
55,FAIRVIEW,State House,13-1,R,Judith Warnick,252,194,58
56,THRALL,State House,13-1,R,Judith Warnick,242,195,47
58,DAMMAN,State House,13-1,R,Judith Warnick,244,193,51
59,KACHESS (vbm),State House,13-1,R,Judith Warnick,112,0,112
60,KITTITAS 2,State House,13-1,R,Judith Warnick,144,118,26
61,ELLENSBURG 25,State House,13-1,R,Judith Warnick,184,137,47
62,RONALD (vbm),State House,13-1,R,Judith Warnick,80,0,80
99,KITTITAS WA,State House,13-1,R,Judith Warnick,8922,0,0
1,CLE ELUM 1,State House,13-1,,writeins,4,4,0
2,CLE ELUM 2,State House,13-1,,writeins,5,5,0
3,CLE ELUM 3,State House,13-1,,writeins,1,0,1
4,CLE ELUM 4,State House,13-1,,writeins,2,1,1
5,DENMARK,State House,13-1,,writeins,11,10,1
6,EAST SANDERS,State House,13-1,,writeins,3,1,2
7,EASTON,State House,13-1,,writeins,6,4,2
8,ELLENSBURG 1,State House,13-1,,writeins,11,6,5
9,ELLENSBURG 2,State House,13-1,,writeins,4,4,0
10,ELLENSBURG 3,State House,13-1,,writeins,1,1,0
11,ELLENSBURG 4,State House,13-1,,writeins,5,2,3
12,ELLENSBURG 5,State House,13-1,,writeins,7,2,5
13,ELLENSBURG 6,State House,13-1,,writeins,4,2,2
14,ELLENSBURG 7,State House,13-1,,writeins,6,4,2
15,ELLENSBURG 8,State House,13-1,,writeins,5,3,2
16,ELLENSBURG 9,State House,13-1,,writeins,4,1,3
17,ELLENSBURG 10,State House,13-1,,writeins,13,5,8
18,ELLENSBURG 11,State House,13-1,,writeins,2,1,1
19,ELLENSBURG 12,State House,13-1,,writeins,3,2,1
20,ELLENSBURG 13,State House,13-1,,writeins,6,3,3
21,ELLENSBURG 14,State House,13-1,,writeins,7,2,5
22,ELLENSBURG 15,State House,13-1,,writeins,2,1,1
23,ELLENSBURG 16,State House,13-1,,writeins,8,6,2
24,ELLENSBURG 17,State House,13-1,,writeins,7,4,3
25,ELLENSBURG 18,State House,13-1,,writeins,2,1,1
26,ELLENSBURG 19,State House,13-1,,writeins,5,2,3
27,ELLENSBURG 20,State House,13-1,,writeins,5,2,3
28,ELLENSBURG 21,State House,13-1,,writeins,11,8,3
29,ELLENSBURG 22,State House,13-1,,writeins,3,2,1
30,ELLENSBURG 23,State House,13-1,,writeins,9,7,2
31,ELLENSBURG 24,State House,13-1,,writeins,3,3,0
32,HYAK (vbm),State House,13-1,,writeins,6,0,6
33,KITTITAS 1,State House,13-1,,writeins,4,4,0
34,MANASTASH,State House,13-1,,writeins,14,12,2
35,MOUNTAIN (vbm),State House,13-1,,writeins,2,0,2
36,NORTH CENTRAL,State House,13-1,,writeins,8,6,2
37,NORTH ELLENSBURG,State House,13-1,,writeins,5,5,0
38,PARK,State House,13-1,,writeins,7,7,0
39,PEOH POINT,State House,13-1,,writeins,10,5,5
40,RIDGEWAY,State House,13-1,,writeins,8,5,3
41,ROSLYN 1,State House,13-1,,writeins,14,10,4
42,ROSLYN 2,State House,13-1,,writeins,8,5,3
43,DRY CREEK,State House,13-1,,writeins,9,7,2
44,WESTSIDE (vbm),State House,13-1,,writeins,5,0,5
45,ROSLYN OUTLYING (vbm),State House,13-1,,writeins,0,0,0
46,SANDERS,State House,13-1,,writeins,0,0,0
47,SOUTH CLE ELUM,State House,13-1,,writeins,4,1,3
48,SOUTH ELLENSBURG,State House,13-1,,writeins,7,2,5
49,CANYON,State House,13-1,,writeins,0,0,0
50,SWAUK (vbm),State House,13-1,,writeins,10,0,10
51,TEANAWAY (vbm),State House,13-1,,writeins,5,0,5
52,THORP,State House,13-1,,writeins,11,9,2
53,VANTAGE (vbm),State House,13-1,,writeins,0,0,0
54,NORTH EAST FAIRVIEW,State House,13-1,,writeins,5,4,1
55,FAIRVIEW,State House,13-1,,writeins,13,11,2
56,THRALL,State House,13-1,,writeins,5,4,1
58,DAMMAN,State House,13-1,,writeins,8,6,2
59,KACHESS (vbm),State House,13-1,,writeins,1,0,1
60,KITTITAS 2,State House,13-1,,writeins,3,3,0
61,ELLENSBURG 25,State House,13-1,,writeins,3,2,1
62,RONALD (vbm),State House,13-1,,writeins,2,0,2
99,KITTITAS WA,State House,13-1,,writeins,0,0,0
1,CLE ELUM 1,State House,13-2,R,Bill Hinkle,118,89,29
2,CLE ELUM 2,State House,13-2,R,Bill Hinkle,105,68,37
3,CLE ELUM 3,State House,13-2,R,Bill Hinkle,56,39,17
4,CLE ELUM 4,State House,13-2,R,Bill Hinkle,164,112,52
5,DENMARK,State House,13-2,R,Bill Hinkle,309,253,56
6,EAST SANDERS,State House,13-2,R,Bill Hinkle,231,178,53
7,EASTON,State House,13-2,R,Bill Hinkle,235,201,34
8,ELLENSBURG 1,State House,13-2,R,Bill Hinkle,34,24,10
9,ELLENSBURG 2,State House,13-2,R,Bill Hinkle,58,38,20
10,ELLENSBURG 3,State House,13-2,R,Bill Hinkle,29,18,11
11,ELLENSBURG 4,State House,13-2,R,Bill Hinkle,55,39,16
12,ELLENSBURG 5,State House,13-2,R,Bill Hinkle,75,50,25
13,ELLENSBURG 6,State House,13-2,R,Bill Hinkle,45,32,13
14,ELLENSBURG 7,State House,13-2,R,Bill Hinkle,46,32,14
15,ELLENSBURG 8,State House,13-2,R,Bill Hinkle,73,49,24
16,ELLENSBURG 9,State House,13-2,R,Bill Hinkle,52,25,27
17,ELLENSBURG 10,State House,13-2,R,Bill Hinkle,89,51,38
18,ELLENSBURG 11,State House,13-2,R,Bill Hinkle,95,63,32
19,ELLENSBURG 12,State House,13-2,R,Bill Hinkle,84,67,17
20,ELLENSBURG 13,State House,13-2,R,Bill Hinkle,94,70,24
21,ELLENSBURG 14,State House,13-2,R,Bill Hinkle,83,54,29
22,ELLENSBURG 15,State House,13-2,R,Bill Hinkle,203,137,66
23,ELLENSBURG 16,State House,13-2,R,Bill Hinkle,74,52,22
24,ELLENSBURG 17,State House,13-2,R,Bill Hinkle,116,87,29
25,ELLENSBURG 18,State House,13-2,R,Bill Hinkle,23,13,10
26,ELLENSBURG 19,State House,13-2,R,Bill Hinkle,213,159,54
27,ELLENSBURG 20,State House,13-2,R,Bill Hinkle,64,44,20
28,ELLENSBURG 21,State House,13-2,R,Bill Hinkle,91,77,14
29,ELLENSBURG 22,State House,13-2,R,Bill Hinkle,147,101,46
30,ELLENSBURG 23,State House,13-2,R,Bill Hinkle,191,161,30
31,ELLENSBURG 24,State House,13-2,R,Bill Hinkle,244,185,59
32,HYAK (vbm),State House,13-2,R,Bill Hinkle,71,0,71
33,KITTITAS 1,State House,13-2,R,Bill Hinkle,107,82,25
34,MANASTASH,State House,13-2,R,Bill Hinkle,193,149,44
35,MOUNTAIN (vbm),State House,13-2,R,Bill Hinkle,92,0,92
36,NORTH CENTRAL,State House,13-2,R,Bill Hinkle,267,199,68
37,NORTH ELLENSBURG,State House,13-2,R,Bill Hinkle,200,153,47
38,PARK,State House,13-2,R,Bill Hinkle,274,229,45
39,PEOH POINT,State House,13-2,R,Bill Hinkle,241,199,42
40,RIDGEWAY,State House,13-2,R,Bill Hinkle,383,302,81
41,ROSLYN 1,State House,13-2,R,Bill Hinkle,111,79,32
42,ROSLYN 2,State House,13-2,R,Bill Hinkle,119,100,19
43,DRY CREEK,State House,13-2,R,Bill Hinkle,300,239,61
44,WESTSIDE (vbm),State House,13-2,R,Bill Hinkle,227,0,227
45,ROSLYN OUTLYING (vbm),State House,13-2,R,Bill Hinkle,26,0,26
46,SANDERS,State House,13-2,R,Bill Hinkle,120,91,29
47,SOUTH CLE ELUM,State House,13-2,R,Bill Hinkle,149,111,38
48,SOUTH ELLENSBURG,State House,13-2,R,Bill Hinkle,283,212,71
49,CANYON,State House,13-2,R,Bill Hinkle,77,67,10
50,SWAUK (vbm),State House,13-2,R,Bill Hinkle,142,0,142
51,TEANAWAY (vbm),State House,13-2,R,Bill Hinkle,215,0,215
52,THORP,State House,13-2,R,Bill Hinkle,263,232,31
53,VANTAGE (vbm),State House,13-2,R,Bill Hinkle,32,0,32
54,NORTH EAST FAIRVIEW,State House,13-2,R,Bill Hinkle,147,107,40
55,FAIRVIEW,State House,13-2,R,Bill Hinkle,260,205,55
56,THRALL,State House,13-2,R,Bill Hinkle,242,200,42
58,DAMMAN,State House,13-2,R,Bill Hinkle,248,198,50
59,KACHESS (vbm),State House,13-2,R,Bill Hinkle,117,0,117
60,KITTITAS 2,State House,13-2,R,Bill Hinkle,142,117,25
61,ELLENSBURG 25,State House,13-2,R,Bill Hinkle,170,127,43
62,RONALD (vbm),State House,13-2,R,Bill Hinkle,79,0,79
99,KITTITAS WA,State House,13-2,R,Bill Hinkle,8793,0,0
1,CLE ELUM 1,State House,13-2,,writeins,13,11,2
2,CLE ELUM 2,State House,13-2,,writeins,6,5,1
3,CLE ELUM 3,State House,13-2,,writeins,2,2,0
4,CLE ELUM 4,State House,13-2,,writeins,4,4,0
5,DENMARK,State House,13-2,,writeins,11,7,4
6,EAST SANDERS,State House,13-2,,writeins,8,6,2
7,EASTON,State House,13-2,,writeins,11,8,3
8,ELLENSBURG 1,State House,13-2,,writeins,10,5,5
9,ELLENSBURG 2,State House,13-2,,writeins,7,6,1
10,ELLENSBURG 3,State House,13-2,,writeins,4,1,3
11,ELLENSBURG 4,State House,13-2,,writeins,6,3,3
12,ELLENSBURG 5,State House,13-2,,writeins,8,2,6
13,ELLENSBURG 6,State House,13-2,,writeins,6,5,1
14,ELLENSBURG 7,State House,13-2,,writeins,10,8,2
15,ELLENSBURG 8,State House,13-2,,writeins,8,7,1
16,ELLENSBURG 9,State House,13-2,,writeins,5,2,3
17,ELLENSBURG 10,State House,13-2,,writeins,10,4,6
18,ELLENSBURG 11,State House,13-2,,writeins,3,2,1
19,ELLENSBURG 12,State House,13-2,,writeins,9,4,5
20,ELLENSBURG 13,State House,13-2,,writeins,6,4,2
21,ELLENSBURG 14,State House,13-2,,writeins,10,2,8
22,ELLENSBURG 15,State House,13-2,,writeins,6,4,2
23,ELLENSBURG 16,State House,13-2,,writeins,8,6,2
24,ELLENSBURG 17,State House,13-2,,writeins,6,3,3
25,ELLENSBURG 18,State House,13-2,,writeins,2,1,1
26,ELLENSBURG 19,State House,13-2,,writeins,8,6,2
27,ELLENSBURG 20,State House,13-2,,writeins,6,2,4
28,ELLENSBURG 21,State House,13-2,,writeins,13,10,3
29,ELLENSBURG 22,State House,13-2,,writeins,4,3,1
30,ELLENSBURG 23,State House,13-2,,writeins,10,7,3
31,ELLENSBURG 24,State House,13-2,,writeins,5,4,1
32,HYAK (vbm),State House,13-2,,writeins,5,0,5
33,KITTITAS 1,State House,13-2,,writeins,3,3,0
34,MANASTASH,State House,13-2,,writeins,18,15,3
35,MOUNTAIN (vbm),State House,13-2,,writeins,7,0,7
36,NORTH CENTRAL,State House,13-2,,writeins,19,15,4
37,NORTH ELLENSBURG,State House,13-2,,writeins,10,8,2
38,PARK,State House,13-2,,writeins,6,5,1
39,PEOH POINT,State House,13-2,,writeins,15,9,6
40,RIDGEWAY,State House,13-2,,writeins,11,4,7
41,ROSLYN 1,State House,13-2,,writeins,29,24,5
42,ROSLYN 2,State House,13-2,,writeins,12,7,5
43,DRY CREEK,State House,13-2,,writeins,15,11,4
44,WESTSIDE (vbm),State House,13-2,,writeins,17,0,17
45,ROSLYN OUTLYING (vbm),State House,13-2,,writeins,0,0,0
46,SANDERS,State House,13-2,,writeins,1,1,0
47,SOUTH CLE ELUM,State House,13-2,,writeins,12,8,4
48,SOUTH ELLENSBURG,State House,13-2,,writeins,10,3,7
49,CANYON,State House,13-2,,writeins,1,1,0
50,SWAUK (vbm),State House,13-2,,writeins,5,0,5
51,TEANAWAY (vbm),State House,13-2,,writeins,7,0,7
52,THORP,State House,13-2,,writeins,17,13,4
53,VANTAGE (vbm),State House,13-2,,writeins,0,0,0
54,NORTH EAST FAIRVIEW,State House,13-2,,writeins,7,5,2
55,FAIRVIEW,State House,13-2,,writeins,13,9,4
56,THRALL,State House,13-2,,writeins,6,3,3
58,DAMMAN,State House,13-2,,writeins,8,7,1
59,KACHESS (vbm),State House,13-2,,writeins,2,0,2
60,KITTITAS 2,State House,13-2,,writeins,4,3,1
61,ELLENSBURG 25,State House,13-2,,writeins,5,3,2
62,RONALD (vbm),State House,13-2,,writeins,7,0,7
99,KITTITAS WA,State House,13-2,,writeins,0,0,0
